data;id;command
2022-12-21;442801867;привет
2022-12-21;442801867;start
2022-12-21;442801867;mem
2022-12-21;442801867;rasp
2022-12-21;442801867;би-03-21-04
2022-12-21;442801867;статистика
2022-12-21;442801867;привет
2022-12-21;442801867;привет
2022-12-21;442801867;mem
2022-12-21;442801867;привет
2022-12-21;442801867;rasp
2022-12-21;442801867;ЭК-3-21-04
2022-12-21;442801867;спасибо
2022-12-21;442801867;спасибо
2022-12-21;442801867;спасибо
2022-12-21;442801867;спасибо
2022-12-21;442801867;спасибо
2022-12-21;442801867;спасибо
2022-12-21;442801867;спасибо
2022-12-21;442801867;спасибо
2022-12-21;442801867;спасибо
2022-12-21;442801867;спасибо
2022-12-21;442801867;спасибо
2022-12-21;442801867;спасибо
2022-12-21;442801867;спасибо
2022-12-22;760095030;start
2022-12-22;760095030;rasp
2022-12-22;760095030;Би-3-22-03
2022-12-22;760095030;rasp
2022-12-22;760095030;Лалкщущв
2022-12-22;760095030;22
2022-12-22;760095030;mem
2022-12-22;760095030;rasp
2022-12-22;760095030;Би-3-22-08
2022-12-22;760095030;start
2022-12-22;760095030;rasp
2022-12-22;760095030;МН-33-22-22
2022-12-22;760095030;rasp
2022-12-22;760095030;rasp
2022-12-22;760095030;rasp
2022-12-22;760095030;rasp
2022-12-22;760095030;rasp
2022-12-22;760095030;rasp
2022-12-22;760095030;rasp
2022-12-22;760095030;rasp
2022-12-22;760095030;rasp
2022-12-22;760095030;rasp
2022-12-22;760095030;rasp
2022-12-22;760095030;rasp
2022-12-22;760095030;rasp
2022-12-22;760095030;rasp
2022-12-22;760095030;rasp
2022-12-22;760095030;start
2022-12-22;760095030;start
2022-12-22;760095030;start
2022-12-22;760095030;mem
2022-12-22;760095030;mem
2022-12-22;760095030;mem
2022-12-22;760095030;mem
2022-12-22;760095030;mem
2022-12-22;760095030;mem
2022-12-22;760095030;rasp
2022-12-22;760095030;Би-3-22-03
2022-12-24;442801867;привет
2022-12-24;442801867;start
2022-12-24;442801867;rasp
2022-12-24;442801867;БИ-3-21-02
2022-12-24;442801867;rasp
2022-12-24;442801867;БИ-3-21-02
2022-12-24;442801867;mem
2022-12-24;442801867;спасибо
2022-12-24;442801867;спасибо
2023-02-26;442801867;mem
2023-02-26;442801867;пенис
2023-02-26;442801867;rasp
2023-02-26;442801867;би-03-21-04
2023-02-26;442801867;rasp
2023-02-26;442801867;би-03-21-04
2023-02-26;442801867;спасибо
2023-05-07;760095030;rasp
2023-05-07;760095030;rasp
2023-05-07;760095030;Би 3 22 03
2023-05-07;760095030;start
2023-05-07;760095030;start
2023-05-07;760095030;start
2023-05-07;760095030;start
2023-05-07;760095030;start
2023-05-07;760095030;start
2023-05-07;760095030;start
2023-05-07;760095030;start
2023-05-07;760095030;start
2023-05-07;760095030;start
2023-05-07;760095030;start
2023-05-07;760095030;start
2023-05-07;760095030;start
2023-05-07;760095030;start
2023-05-07;760095030;help
2023-05-07;760095030;start
2023-05-07;760095030;help
2023-05-07;760095030;/today
2023-05-07;760095030;help
2023-05-07;760095030;rasp
2023-05-07;760095030;БИ 3 22 03
2023-05-08;760095030;start
2023-05-08;760095030;start
2023-05-08;760095030;help
2023-05-08;760095030;start
2023-05-08;760095030;help
2023-05-08;760095030;help
2023-05-08;760095030;help
2023-05-08;760095030;myrasp 11
2023-05-08;760095030;rasp
2023-05-08;760095030;BI-3-22-08
2023-05-08;760095030;help
2023-05-08;760095030;help
2023-05-08;760095030;help
2023-05-08;760095030;start
2023-05-08;760095030;start
2023-05-08;760095030;start
2023-05-08;760095030;start
2023-05-08;760095030;start
2023-05-08;760095030;start
2023-05-08;760095030;help
2023-05-08;760095030;привет
2023-05-08;760095030;start
2023-05-08;760095030;help
2023-05-08;760095030;help
2023-05-08;760095030;start
2023-05-08;760095030;start
2023-05-08;760095030;start
2023-05-08;760095030;start
2023-05-09;442801867;start
2023-05-09;442801867;rasp
2023-05-09;442801867;би-3-21-4
2023-05-09;442801867;rasp
2023-05-09;442801867;би-03-21-04
2023-05-09;442801867;rasp
2023-05-09;442801867;би-03-22-05
2023-05-09;442801867;rasp
2023-05-09;442801867;би-03-22-05
2023-05-09;442801867;сильно
2023-05-09;442801867;нормес
2023-05-09;442801867;rasp
2023-05-09;442801867;би-3-21-04
2023-05-09;442801867;rasp
2023-05-09;442801867;би-3-21-04
2023-05-09;442801867;привет
2023-05-09;442801867;спасибо
2023-05-09;760095030;обожаю стикеры дурака
2023-05-09;760095030;обожаю стикеры дурака
2023-05-09;442801867;группа
2023-05-09;442801867;понял
2023-05-09;442801867;help
2023-05-09;442801867;rasp
2023-05-09;442801867;би 3 21 03
2023-05-09;442801867;отдых
2023-05-09;760095030;/mom
2023-05-09;760095030;/mem
2023-05-09;760095030;mem
2023-05-09;760095030;мем
2023-05-09;760095030;сайт
2023-05-09;760095030;start
2023-05-09;760095030;help
2023-05-09;760095030;help
2023-05-12;760095030;help
2023-05-12;760095030;start
2023-05-12;760095030;start
2023-05-12;564460750;start
2023-05-12;904508783;start
2023-05-12;904508783;БИ 3 22 03
2023-05-12;1648079056;start
2023-05-12;564460750;БИ-3-22-03
2023-05-12;1648079056;help
2023-05-12;904508783;БИ-3-22-03
2023-05-12;512491626;start
2023-05-12;512491626;help
2023-05-12;1036798749;start
2023-05-12;834750268;start
2023-05-12;512491626;rasp
2023-05-12;1648079056;13
2023-05-12;1648079056;5
2023-05-12;1036798749;БИ-3-22-03
2023-05-12;1014710783;start
2023-05-12;512491626;БИ 3-22-03
2023-05-12;695599149;start
2023-05-12;1648079056;rasp
2023-05-12;695599149;БИ-3-22-03
2023-05-12;695599149;13
2023-05-12;695599149;13 мая
2023-05-12;695599149;13.05
2023-05-12;414677717;start
2023-05-12;1648079056;3
2023-05-12;695599149;БИ-3-22-03
2023-05-12;695599149;БИ-3-22-03
2023-05-12;1036798749;help
2023-05-12;695599149;help
2023-05-12;463870400;start
2023-05-12;463870400;БИ-3-22-03
2023-05-12;463870400;group БИ-3-22-03
2023-05-12;636022643;start
2023-05-12;636022643;"Введите группу после команды.

Например:
/group БИ-3-22-03"
2023-05-12;636022643;имба
2023-05-12;861394530;start
2023-05-12;1093950971;start
2023-05-12;1093950971;help
2023-05-12;1093950971;rasp
2023-05-12;1093950971;БИ-3-22-03
2023-05-12;1344580145;start
2023-05-12;1344580145;help
2023-05-12;1344580145;rasp
2023-05-12;760095030;help
2023-05-12;1344580145;БИ 3-22-03
2023-05-12;760095030;/tomorrt
2023-05-12;1648079056;help
2023-05-12;5412912669;start
2023-05-23;5723436804;start
2023-05-23;5723436804;help
2023-09-15;760095030;rasp
2023-09-15;760095030;би 3 22 03
2023-09-17;760095030;rasp
2023-09-17;760095030;Bi 3 22 03
2023-09-18;760095030;rasp
2023-09-18;760095030;bi 3 22 08
2023-09-18;760095030;rasp
2023-09-18;760095030;bi 3 23 03
2023-09-18;760095030;rasp
2023-09-18;760095030;bi 3 23 03
2023-09-18;760095030;rasp
2023-09-18;760095030;БИ 3 23 03
2023-09-18;760095030;rasp
2023-09-18;760095030;БИ 3 23 03
2023-09-18;760095030;rasp
2023-09-18;760095030;БИ 3 23 03
2023-09-18;760095030;rasp
2023-09-18;760095030;БИ 3 21 03
2023-09-18;760095030;help
2023-09-18;952494874;start
2023-09-18;999962779;start
2023-09-18;999962779;rasp
2023-09-18;999962779;Би-3-22-04
2023-09-18;999962779;rasp
2023-09-18;999962779;Би-3-22-04
2023-09-18;999962779;rasp
2023-09-18;999962779;БИ-3-22-04
2023-09-18;760095030;rasp
2023-09-18;760095030;БИ 3 22 04
2023-09-18;760095030;rasp
2023-09-18;760095030;БИ 3 22 04
2023-09-18;760095030;вмвам
2023-09-19;760095030;rasp
2023-09-19;760095030;БИ 3 22 04
2023-09-19;760095030;rasp
2023-09-19;760095030;БИ 3 22 04
2023-09-19;760095030;rasp
2023-09-19;760095030;БИ 3 22 04
2023-09-19;760095030;rasp
2023-09-19;760095030;БИ 3 22 04
2023-09-19;1443174728;start
2023-09-19;760095030;rasp
2023-09-19;760095030;БИ 3 22 04
2023-09-19;760095030;rasp
2023-09-19;760095030;БИ 3 22 04
2023-09-19;1443174728;rasp
2023-09-19;1443174728;start
2023-09-19;1443174728;help
2023-09-19;760095030;rasp
2023-09-19;760095030;БИ 3 22 04
2023-09-19;760095030;rasp
2023-09-19;760095030;И-2-22-01
2023-09-19;760095030;rasp
2023-09-19;760095030;БИ 2 22 01
2023-09-19;999962779;rasp
2023-09-19;999962779;БИ-3-22-04
2023-09-19;999962779;rasp
2023-09-19;999962779;БИ-3-22-08
2023-09-19;999962779;БИ-3-22-08
2023-09-19;999962779;rasp
2023-09-19;999962779;БИ-3-22-08
2023-09-19;999962779;rasp
2023-09-19;999962779;БИ-3-22-08
2023-09-19;760095030;rasp
2023-09-19;760095030;Bi 3 22 04
2023-09-19;760095030;rasp
2023-09-19;760095030;Bi 3 22 08
2023-09-19;760095030;help
2023-09-19;760095030;help
2023-09-19;760095030;Ннннг
2023-09-19;999962779;rasp
2023-09-19;999962779;БИ-22-08
2023-09-19;999962779;rasp
2023-09-19;999962779;БИ-3-22-08
2023-09-19;760095030;rasp
2023-09-19;760095030;Бля, кто бота запустил, того рот ебал
2023-09-19;760095030;rasp
2023-09-19;760095030;Би 3 22 03
2023-09-19;760095030;rasp
2023-09-19;760095030;Би 3 21 08
2023-09-19;999962779;rasp
2023-09-19;999962779;БИ-3-22-08
2023-09-19;760095030;БИ-3-22-03
2023-09-19;999962779;rasp
2023-09-19;999962779;БИ-3-22-08
2023-09-19;707263270;start
2023-09-19;707263270;help
2023-09-19;707263270;rasp
2023-09-19;898328175;start
2023-09-19;898328175;help
2023-09-19;898328175;куку
2023-09-19;898328175;би 3
2023-09-19;898328175;спс
2023-09-19;898328175;спасибо
2023-09-19;898328175;привет
2023-09-19;898328175;Сайт
2023-09-19;898328175;группу
2023-09-19;999962779;rasp
2023-09-19;714341098;start
2023-09-19;714341098;help
2023-09-19;714341098;Би-03-22-08
2023-09-20;999962779;rasp
2023-09-20;999962779;БИ-3-22-08
2023-09-20;999962779;rasp
2023-09-20;999962779;БИ-3-22-07
2023-09-20;999962779;rasp
2023-09-20;999962779;БИ-3-22-06
2023-09-20;999962779;rasp
2023-09-20;999962779;БИ-3-22-06
2023-09-20;999962779;rasp
2023-09-20;999962779;БИ-3-22-05
2023-09-20;999962779;rasp
2023-09-20;999962779;МН-3-22-05
2023-09-20;999962779;rasp
2023-09-20;999962779;МН-3-22-03-04
2023-09-20;999962779;rasp
2023-09-20;999962779;МН-3-20-01
2023-09-20;999962779;rasp
2023-09-20;999962779;МН-3-22-01
2023-09-20;999962779;rasp
2023-09-20;999962779;МН-3-22-01-08
2023-09-20;999962779;rasp
2023-09-20;999962779;МН-3-21-01
2023-09-20;999962779;rasp
2023-09-20;999962779;МН-3-20-01
2023-09-20;999962779;rasp
2023-09-20;999962779;МН-3-22-01
2023-09-20;999962779;rasp
2023-09-20;999962779;МН-3-20-01
2023-09-20;999962779;rasp
2023-09-20;999962779;МН-3-20-02
2023-09-20;999962779;rasp
2023-09-20;999962779;МН-3-22-01
2023-09-20;999962779;rasp
2023-09-20;999962779;БИ-3-22-08
2023-09-20;999962779;rasp
2023-09-20;999962779;БИ-3-22-08
2023-09-20;999962779;rasp
2023-09-20;999962779;МН-3-22-01
2023-09-20;999962779;rasp
2023-09-20;999962779;МН-3-22-01
2023-09-20;999962779;rasp
2023-09-20;999962779;МН-3-22-01
2023-09-20;999962779;rasp
2023-09-20;999962779;БИ-3-22-08
2023-09-20;999962779;rasp
2023-09-20;999962779;МН-3-22-01
2023-09-20;999962779;rasp
2023-09-20;999962779;МН-3-22-01
2023-09-20;999962779;rasp
2023-09-20;999962779;МН-3-22-01
2023-09-20;999962779;/raps
2023-09-20;999962779;rasp
2023-09-20;999962779;МН-3-22-02
2023-09-20;999962779;rasp
2023-09-20;999962779;БИ-3-22-08
2023-09-20;999962779;rasp
2023-09-20;999962779;БИ-3-22-08
2023-09-20;999962779;rasp
2023-09-20;999962779;БИ-3-22-08
2023-09-20;999962779;rasp
2023-09-20;999962779;БИ-3-22-08
2023-09-20;999962779;/raps
2023-09-20;999962779;rasp
2023-09-20;999962779;МН-3-22-02
2023-09-20;999962779;rasp
2023-09-20;999962779;МН-3-22-02
2023-09-20;999962779;rasp
2023-09-20;999962779;БИ-3-22-08
2023-09-20;999962779;rasp
2023-09-20;999962779;МН-3-22-02
2023-09-20;999962779;rasp
2023-09-20;999962779;МН-3-22-02
2023-09-20;999962779;rasp
2023-09-20;999962779;БИ-3-22-08
2023-09-20;999962779;rasp
2023-09-20;999962779;БИ-3-22-08
2023-09-20;999962779;rasp
2023-09-20;999962779;БИ-3-22-08
2023-09-20;999962779;rasp
2023-09-20;999962779;МН-3-22-02
2023-09-20;999962779;rasp
2023-09-20;999962779;mn-3-22-02
2023-09-20;999962779;rasp
2023-09-20;999962779;МН-3-19-03
2023-09-20;694830098;start
2023-09-20;999962779;rasp
2023-09-20;694830098;help
2023-09-20;999962779;БИ-3-22-08
2023-09-20;636438780;start
2023-09-20;1339232204;start
2023-09-20;636438780;help
2023-09-20;1339232204;help
2023-09-20;694830098;help
2023-09-20;694830098;rasp
2023-09-20;1339232204;БИ-3-22-08
2023-09-20;1339232204;9
2023-09-20;1339232204;09
2023-09-20;694830098;rasp
2023-09-20;999962779;rasp
2023-09-20;694830098;БИ 3-22-08
2023-09-20;999962779;rasp
2023-09-20;999962779;БИ-3-22-08
2023-09-20;694830098;09
2023-09-20;694830098;9
2023-09-20;694830098;30
2023-09-20;999962779;rasp
2023-09-20;999962779;БИ-3-22-08
2023-09-20;999962779;rasp
2023-09-20;999962779;БИ-3-22-08ъ
2023-09-20;999962779;rasp
2023-09-20;999962779;БИ-3-22-08
2023-09-22;999962779;rasp
2023-09-22;999962779;БИ-3-22-08
2023-09-22;999962779;rasp
2023-09-22;999962779;23
2023-09-22;999962779;rasp
2023-09-22;999962779;БИ-3-22-08
2023-09-22;999962779;rasp
2023-09-22;999962779;МН-3-22-01
2023-09-22;999962779;rasp
2023-09-22;999962779;МН-3-20-01
2023-09-22;999962779;rasp
2023-09-22;999962779;МН-3-21-01
2023-09-22;999962779;rasp
2023-09-22;999962779;БИ-3-22-08
2023-09-22;999962779;rasp
2023-09-22;999962779;БИ-3-22-08
2023-09-22;999962779;rasp
2023-09-22;999962779;БИ-3-22-08
2023-09-22;999962779;rasp
2023-09-22;999962779;rasp
2023-09-22;999962779;БИ-3-22-08
2023-09-22;999962779;rasp
2023-09-22;999962779;БИ-3-22-08
2023-09-22;999962779;rasp
2023-09-22;999962779;БИ-3-22-08
2023-09-22;1728994962;start
2023-09-22;999962779;rasp
2023-09-22;1728994962;rasp
2023-09-22;999962779;БИ-3-22-08
2023-09-22;999962779;23
2023-09-22;999962779;rasp
2023-09-22;999962779;БИ-3-22-08
2023-09-22;999962779;rasp
2023-09-22;999962779;БИ-3-22-08
2023-09-22;999962779;rasp
2023-09-22;999962779;БИ-3-22-08
2023-09-22;999962779;rasp
2023-09-22;999962779;БИ-3-22-08
2023-09-22;999962779;rasp
2023-09-22;999962779;БИ-3-22-08
2023-09-22;999962779;rasp
2023-09-22;999962779;БИ-3-22-08
2023-09-22;999962779;rasp
2023-09-22;999962779;БИ-3-22-08
2023-09-22;999962779;rasp
2023-09-22;999962779;БИ-3-22-08
2023-09-22;999962779;rasp
2023-09-22;999962779;БИ-3-22-08
2023-09-22;999962779;rasp
2023-09-22;999962779;БИ-3-22-08
2023-09-22;999962779;rasp
2023-09-22;999962779;БИ-3-22-08
2023-09-22;999962779;rasp
2023-09-22;999962779;БИ-3-22-08
2023-09-22;999962779;rasp
2023-09-22;999962779;БИ-3-22-08
2023-09-22;999962779;rasp
2023-09-22;999962779;БИ-3-22-08
2023-09-22;999962779;rasp
2023-09-22;999962779;БИ-3-22-08
2023-09-22;760095030;start
2023-09-24;999962779;start
2023-09-24;999962779;rasp
2023-09-24;999962779;rasp
2023-09-24;999962779;БИ-3-22-08
2023-09-24;999962779;rasp
2023-09-24;999962779;БИ-3-22-08
2023-09-24;999962779;rasp
2023-09-24;999962779;bi-3-22-08
2023-09-24;999962779;rasp
2023-09-24;999962779;БИ-3-22-08
2023-09-24;999962779;rasp
2023-09-24;999962779;БИ-3-22-08
2023-09-24;999962779;rasp
2023-09-24;999962779;БИ-3-22-08
2023-09-24;999962779;rasp
2023-09-24;999962779;БИ-3-22-08
2023-09-24;999962779;rasp
2023-09-24;999962779;rasp
2023-09-24;999962779;rasp
2023-09-24;999962779;БИ-3-22-08
2023-09-24;999962779;rasp
2023-09-24;999962779;БИ-3-22-08
2023-09-24;999962779;rasp
2023-09-24;999962779;БИ-3-22-08
2023-09-24;999962779;rasp
2023-09-24;999962779;БИ-3-22-08
2023-09-24;999962779;rasp
2023-09-24;999962779;БИ-3-22-08
2023-09-24;999962779;rasp
2023-09-24;999962779;БИ-3-22-08
2023-09-24;999962779;rasp
2023-09-24;999962779;БИ-3-22-08
2023-09-24;999962779;rasp
2023-09-24;999962779;БИ-3-22-08
2023-09-24;999962779;rasp
2023-09-24;999962779;БИ-3-22-08
2023-09-24;999962779;23
2023-09-24;999962779;rasp
2023-09-24;999962779;БИ-3-22-08
2023-09-24;999962779;25
2023-09-24;999962779;rasp
2023-09-24;999962779;БИ-3-22-08
2023-09-24;999962779;25
2023-09-24;999962779;rasp
2023-09-24;999962779;БИ-3-22-08
2023-09-24;999962779;25
2023-09-24;999962779;rasp
2023-09-24;999962779;БИ-3-22-08
2023-09-24;999962779;rasp
2023-09-24;999962779;25
2023-09-24;999962779;rasp
2023-09-24;999962779;25
2023-09-24;999962779;rasp
2023-09-24;999962779;25
2023-09-24;999962779;rasp
2023-09-24;999962779;25
2023-09-24;999962779;rasp
2023-09-24;999962779;25
2023-09-24;999962779;rasp
2023-09-24;999962779;25
2023-09-24;999962779;rasp
2023-09-24;999962779;25
2023-09-24;999962779;rasp
2023-09-24;999962779;25
2023-09-24;999962779;rasp
2023-09-24;999962779;25
2023-09-24;999962779;rasp
2023-09-24;999962779;25
2023-09-24;999962779;rasp
2023-09-24;999962779;25
2023-09-24;999962779;rasp
2023-09-24;999962779;25
2023-09-24;999962779;rasp
2023-09-24;999962779;25
2023-09-24;999962779;rasp
2023-09-24;999962779;25
2023-09-24;999962779;rasp
2023-09-24;999962779;25
2023-09-24;999962779;rasp
2023-09-24;999962779;25
2023-09-24;999962779;rasp
2023-09-24;999962779;25
2023-09-24;999962779;rasp
2023-09-24;999962779;25
2023-09-24;999962779;rasp
2023-09-24;999962779;25
2023-09-24;999962779;rasp
2023-09-24;999962779;25
2023-09-24;999962779;rasp
2023-09-24;999962779;25
2023-09-24;999962779;rasp
2023-09-24;999962779;25
2023-09-24;999962779;rasp
2023-09-24;999962779;25
2023-09-24;999962779;rasp
2023-09-24;999962779;25
2023-09-24;999962779;rasp
2023-09-24;999962779;25
2023-09-24;999962779;rasp
2023-09-24;999962779;25
2023-09-24;999962779;rasp
2023-09-24;999962779;25
2023-09-24;999962779;rasp
2023-09-24;999962779;25
2023-09-24;999962779;rasp
2023-09-24;999962779;25
2023-09-24;999962779;rasp
2023-09-24;999962779;25
2023-09-24;999962779;rasp
2023-09-24;999962779;25
2023-09-24;999962779;rasp
2023-09-24;999962779;25
2023-09-24;999962779;rasp
2023-09-24;999962779;25
2023-09-24;999962779;rasp
2023-09-24;999962779;25
2023-09-24;999962779;rasp
2023-09-24;999962779;25
2023-09-24;999962779;rasp
2023-09-24;999962779;25
2023-09-24;999962779;rasp
2023-09-24;999962779;25
2023-09-24;999962779;rasp
2023-09-24;999962779;25
2023-09-24;999962779;rasp
2023-09-24;999962779;25
2023-09-24;999962779;rasp
2023-09-24;999962779;25
2023-09-24;999962779;rasp
2023-09-24;999962779;25
2023-09-24;999962779;rasp
2023-09-24;760095030;rasp
2023-09-24;999962779;25
2023-09-24;760095030;25
2023-09-24;999962779;rasp
2023-09-24;999962779;25
2023-09-26;750610337;help
2023-10-01;999962779;rasp
2023-10-01;999962779;2
2023-10-01;999962779;rasp
2023-10-01;999962779;1
2023-10-01;999962779;rasp
2023-10-01;999962779;1
2023-10-01;999962779;rasp
2023-10-01;999962779;2
2023-10-01;999962779;rasp
2023-10-01;999962779;1
